2020-09-11,15:59:01
LOCATION	CASES	DEATHS	RECOVERED
Barrow-Georgia	1948	43	NA
Bartow-Georgia	2621	76	NA
Ben Hill-Georgia	689	18	NA
Berrien-Georgia	417	10	NA
Bibb-Georgia	5649	146	NA
Bleckley-Georgia	400	19	NA
Brantley-Georgia	321	8	NA
Brooks-Georgia	492	24	NA
Bryan-Georgia	966	9	NA
Bulloch-Georgia	2540	23	NA
Burke-Georgia	706	9	NA
Butts-Georgia	596	41	NA
Calhoun-Georgia	229	7	NA
Camden-Georgia	1131	7	NA
Candler-Georgia	389	16	NA
Carroll-Georgia	2472	63	NA
Catoosa-Georgia	986	16	NA
Charlton-Georgia	590	6	NA
Chatham-Georgia	7644	132	NA
Chattahoochee-Georgia	1515	2	NA
Chattooga-Georgia	657	7	NA
Cherokee-Georgia	5338	87	NA
Clarke-Georgia	4205	36	NA
Clay-Georgia	115	2	NA
Clayton-Georgia	6761	149	NA
Clinch-Georgia	322	5	NA
Cobb-Georgia	18155	409	NA
Coffee-Georgia	1893	40	NA
Colquitt-Georgia	1848	31	NA
Columbia-Georgia	3387	53	NA
Cook-Georgia	528	12	NA
Coweta-Georgia	2375	34	NA
Crawford-Georgia	162	4	NA
Crisp-Georgia	505	17	NA
Dade-Georgia	228	4	NA
Dawson-Georgia	745	6	NA
Decatur-Georgia	1044	22	NA
De Kalb-Georgia	17314	333	NA
Dodge-Georgia	357	9	NA
Dooly-Georgia	300	14	NA
Dougherty-Georgia	3049	181	NA
Douglas-Georgia	3308	68	NA
Early-Georgia	440	32	NA
Echols-Georgia	238	2	NA
Effingham-Georgia	1224	20	NA
Elbert-Georgia	529	2	NA
Emanuel-Georgia	879	26	NA
Evans-Georgia	392	5	NA
Fannin-Georgia	516	9	NA
Fayette-Georgia	1653	44	NA
Floyd-Georgia	2593	38	NA
Forsyth-Georgia	3463	38	NA
Franklin-Georgia	639	11	NA
Fulton-Georgia	25934	550	NA
Gilmer-Georgia	775	9	NA
Glascock-Georgia	36	2	NA
Glynn-Georgia	3269	84	NA
Gordon-Georgia	1632	34	NA
Grady-Georgia	707	19	NA
Greene-Georgia	479	21	NA
Gwinnett-Georgia	25495	366	NA
Habersham-Georgia	1423	65	NA
Hall-Georgia	8266	133	NA
Hancock-Georgia	373	40	NA
Haralson-Georgia	378	8	NA
Harris-Georgia	754	21	NA
Hart-Georgia	460	11	NA
Heard-Georgia	180	5	NA
Henry-Georgia	4649	90	NA
Houston-Georgia	2829	73	NA
Irwin-Georgia	250	4	NA
Jackson-Georgia	1711	27	NA
Jasper-Georgia	201	4	NA
Jeff Davis-Georgia	674	14	NA
Jefferson-Georgia	728	20	NA
Jenkins-Georgia	355	27	NA
Johnson-Georgia	388	18	NA
