2020-09-10,15:59:01
LOCATION	CASES	DEATHS	RECOVERED
Dawson-Georgia	745	6	0
Decatur-Georgia	1044	22	0
De Kalb-Georgia	17314	333	0
Dodge-Georgia	357	9	0
Dooly-Georgia	300	14	0
Dougherty-Georgia	3049	181	0
Douglas-Georgia	3308	68	0
Early-Georgia	440	32	0
Echols-Georgia	238	2	0
Effingham-Georgia	1224	20	0
Elbert-Georgia	529	2	0
Emanuel-Georgia	879	26	0
Evans-Georgia	392	5	0
Fannin-Georgia	516	9	0
Fayette-Georgia	1653	44	0
Floyd-Georgia	2593	38	0
Forsyth-Georgia	3463	38	0
Franklin-Georgia	639	11	0
Fulton-Georgia	25934	550	0
Gilmer-Georgia	775	9	0
Glascock-Georgia	36	2	0
Glynn-Georgia	3269	84	0
Gordon-Georgia	1632	34	0
Grady-Georgia	707	19	0
Greene-Georgia	479	21	0
Gwinnett-Georgia	25495	366	0
Habersham-Georgia	1423	65	0
Hall-Georgia	8266	133	0
Hancock-Georgia	373	40	0
Haralson-Georgia	378	8	0
Harris-Georgia	754	21	0
Hart-Georgia	460	11	0
Heard-Georgia	180	5	0
Henry-Georgia	4649	90	0
Houston-Georgia	2829	73	0
Irwin-Georgia	250	4	0
Jackson-Georgia	1711	27	0
Jasper-Georgia	201	4	0
Jeff Davis-Georgia	674	14	0
Jefferson-Georgia	728	20	0
Jenkins-Georgia	355	27	0
Johnson-Georgia	388	18	0
Jones-Georgia	496	4	0
Lamar-Georgia	337	17	0
Lanier-Georgia	279	5	0
Laurens-Georgia	1463	54	0
Lee-Georgia	662	25	0
Liberty-Georgia	981	19	0
Lincoln-Georgia	201	7	0
Long-Georgia	198	3	0
Lowndes-Georgia	3652	72	0
Lumpkin-Georgia	795	12	0
McDuffie-Georgia	541	13	0
McIntosh-Georgia	269	7	0
Macon-Georgia	217	10	0
Madison-Georgia	597	8	0
Marion-Georgia	178	6	0
Meriwether-Georgia	510	11	0
Miller-Georgia	230	1	0
Mitchell-Georgia	742	45	0
Monroe-Georgia	618	44	0
Montgomery-Georgia	250	4	0
Morgan-Georgia	442	2	0
Murray-Georgia	737	5	0
Muscogee-Georgia	5678	154	0
Newton-Georgia	2417	72	0
Oconee-Georgia	640	21	0
Oglethorpe-Georgia	295	11	0
Paulding-Georgia	2530	43	0
Peach-Georgia	603	19	0
Pickens-Georgia	563	8	0
Pierce-Georgia	544	14	0
Pike-Georgia	291	8	0
Polk-Georgia	1302	17	0
Pulaski-Georgia	279	11	0
Putnam-Georgia	651	21	0
Quitman-Georgia	31	1	0
Rabun-Georgia	305	7	0
Randolph-Georgia	325	27	0
Richmond-Georgia	6405	143	0
Rockdale-Georgia	1729	32	0
Schley-Georgia	101	2	0
Screven-Georgia	327	9	0
Seminole-Georgia	315	8	0
Spalding-Georgia	1238	54	0
Stephens-Georgia	914	30	0
Stewart-Georgia	402	12	0
Sumter-Georgia	893	60	0
Talbot-Georgia	155	5	0
Taliaferro-Georgia	19	0	0
Tattnall-Georgia	724	8	0
Taylor-Georgia	174	8	0
Telfair-Georgia	363	15	0
Terrell-Georgia	324	31	0
Thomas-Georgia	1423	58	0
Tift-Georgia	1612	52	0
Toombs-Georgia	1197	30	0
Towns-Georgia	244	7	0
Treutlen-Georgia	232	6	0
Troup-Georgia	2674	92	0
Turner-Georgia	287	21	0
Twiggs-Georgia	173	7	0
Union-Georgia	542	16	0
Upson-Georgia	699	59	0
Walker-Georgia	1215	26	0
Walton-Georgia	1636	49	0
Ware-Georgia	1394	49	0
Warren-Georgia	124	5	0
Washington-Georgia	634	7	0
Wayne-Georgia	1030	26	0
Webster-Georgia	41	2	0
