date	time	source_timestamp	China - Anhui	China - Beijing	China - Chongqing	China - Fujian	China - Gansu	China - Guangdong	China - Guangxi	China - Guizhou	China - Hainan	China - Hebei	China - Heilongjiang	China - Henan	China - Hong Kong	China - Hubei	China - Hunan	China - Inner Mongolia	China - Jiangsu	China - Jiangxi	China - Jilin	China - Liaoning	China - Macau	China - Ningxia	China - Qinghai	China - Shaanxi	China - Shandong	China - Shanghai	China - Shanxi	China - Sichuan	China - Tianjin	China - Tibet	China - Xinjiang	China - Yunnan	China - Zhejiang
2020-04-04	00:00:00	NA	990-6-984	585-8-438	579-6-570	350-1-301	138-2-131	1516-8-1378	254-2-252	146-2-144	168-6-162	326-6-310	491-13-469	1276-22-1251	862-4-173	67803-3207-63762	1019-4-1014	117-1-74	651-0-632	937-1-935	98-1-92	141-2-125	43-0-10	75-0-75	18-0-18	256-3-245	778-7-755	529-6-356	137-0-133	557-3-538	180-3-144	1-0-1	76-3-73	184-2-172	1262-1-1229
2020-04-05	00:00:00	NA	990-6-984	586-8-441	579-6-570	350-1-303	138-2-131	1524-8-1387	254-2-252	146-2-144	168-6-162	327-6-310	504-13-469	1276-22-1251	890-4-206	67803-3210-63945	1019-4-1014	117-1-74	651-0-633	937-1-935	98-1-92	142-2-126	44-0-10	75-0-75	18-0-18	256-3-245	779-7-755	531-6-383	138-0-133	558-3-539	180-3-144	1-0-1	76-3-73	184-2-172	1263-1-1230
2020-04-06	00:00:00	NA	990-6-984	587-8-443	579-6-570	350-1-305	139-2-132	1532-8-1395	254-2-252	146-2-144	168-6-162	327-6-310	524-13-469	1276-22-1252	914-4-216	67803-3212-64014	1019-4-1014	118-1-74	651-0-633	937-1-935	98-1-92	142-2-128	44-0-10	75-0-75	18-0-18	256-3-246	780-7-755	536-6-389	138-0-133	559-3-540	180-3-144	1-0-1	76-3-73	184-2-172	1264-1-1230
2020-04-07	00:00:00	NA	990-6-984	587-8-448	579-6-570	351-1-305	139-2-132	1533-8-1401	254-2-252	146-2-144	168-6-162	327-6-312	544-13-469	1276-22-1252	935-4-216	67803-3212-64073	1019-4-1014	121-1-74	651-0-633	937-1-935	98-1-92	144-2-130	44-0-10	75-0-75	18-0-18	256-3-246	781-7-755	538-6-406	138-0-133	560-3-541	180-3-151	1-0-1	76-3-73	184-2-173	1265-1-1230
2020-04-08	00:00:00	NA	990-6-984	588-8-455	579-6-570	351-1-308	139-2-133	1536-8-1411	254-2-252	146-2-144	168-6-162	327-6-312	569-13-470	1276-22-1252	960-4-264	67803-3213-64142	1019-4-1014	124-1-74	651-0-633	937-1-935	98-1-93	144-2-131	45-0-10	75-0-75	18-0-18	256-3-246	783-7-755	543-7-418	163-0-134	560-3-541	180-3-152	1-0-1	76-3-73	184-2-173	1266-1-1232
2020-04-09	00:00:00	NA	991-6-984	588-8-464	579-6-570	351-1-308	139-2-135	1539-8-1423	254-2-252	146-2-144	168-6-162	327-6-313	609-13-470	1276-22-1252	973-4-293	67803-3215-64187	1019-4-1014	126-1-79	651-0-633	937-1-935	98-1-93	144-2-132	45-0-10	75-0-75	18-0-18	256-3-246	783-7-756	552-7-422	166-0-134	560-3-541	182-3-152	1-0-1	76-3-73	184-2-173	1267-1-1235
2020-04-10	00:00:00	NA	991-6-984	588-8-469	579-6-570	351-1-311	139-2-135	1544-8-1434	254-2-252	146-2-144	168-6-162	327-6-313	638-13-470	1276-22-1252	989-4-309	67803-3216-64236	1019-4-1014	128-1-79	651-0-634	937-1-936	98-1-95	144-2-132	45-0-10	75-0-75	18-0-18	256-3-246	783-7-756	555-7-435	168-0-134	560-3-546	183-3-158	1-0-1	76-3-73	184-2-173	1267-1-1235
2020-04-11	00:00:00	NA	991-6-984	589-8-474	579-6-570	351-1-317	139-2-135	1548-8-1437	254-2-252	146-2-144	168-6-162	327-6-313	661-13-470	1276-22-1252	1000-4-336	67803-3219-64264	1019-4-1014	155-1-79	652-0-636	937-1-936	98-1-96	145-2-133	45-0-10	75-0-75	18-0-18	256-3-248	784-7-757	555-7-438	172-0-135	560-3-547	183-3-161	1-0-1	76-3-73	184-2-174	1267-1-1236
2020-04-12	00:00:00	NA	991-6-984	589-8-479	579-6-570	352-1-321	139-2-135	1552-8-1443	254-2-252	146-2-144	168-6-162	327-6-313	684-13-470	1276-22-1253	1004-4-360	67803-3219-64281	1019-4-1014	189-1-83	653-0-638	937-1-936	99-1-96	145-2-136	45-0-13	75-0-75	18-0-18	256-3-248	784-7-757	607-7-446	172-0-135	560-3-547	183-3-161	1-0-1	76-3-73	184-2-174	1267-1-1238
2020-04-13	21:59:10	2020-04-13 21:59:10	991-6-984	589-8-484	579-6-570	352-1-325	139-2-135	1555-8-1454	254-2-252	146-2-144	168-6-162	327-6-313	740-13-470	1276-22-1253	1009-4-360	67803-3221-64338	1019-4-1014	190-1-83	653-0-638	937-1-936	100-1-96	145-2-136	45-0-13	75-0-75	18-0-18	256-3-248	784-7-758	618-7-446	173-0-135	560-3-548	184-3-164	1-0-1	76-3-73	184-2-174	1267-1-1239
2020-04-14	15:50:15	2020-04-14 15:50:15	991-6-984	589-8-484	579-6-570	352-1-325	139-2-135	1555-8-1454	254-2-252	146-2-144	168-6-162	327-6-313	740-13-470	1276-22-1253	1009-4-360	67803-3221-64338	1019-4-1014	190-1-83	653-0-638	937-1-936	100-1-96	145-2-136	45-0-13	75-0-75	18-0-18	256-3-248	784-7-758	618-7-446	173-0-135	560-3-548	184-3-164	1-0-1	76-3-73	184-2-174	1267-1-1239
2020-04-14	15:51:43	2020-04-14 15:51:43	991-6-984	589-8-484	579-6-570	352-1-325	139-2-135	1555-8-1454	254-2-252	146-2-144	168-6-162	327-6-313	740-13-470	1276-22-1253	1009-4-360	67803-3221-64338	1019-4-1014	190-1-83	653-0-638	937-1-936	100-1-96	145-2-136	45-0-13	75-0-75	18-0-18	256-3-248	784-7-758	618-7-446	173-0-135	560-3-548	184-3-164	1-0-1	76-3-73	184-2-174	1267-1-1239
2020-04-14	15:53:43	2020-04-14 15:53:43	991-6-984	589-8-484	579-6-570	352-1-325	139-2-135	1555-8-1454	254-2-252	146-2-144	168-6-162	327-6-313	740-13-470	1276-22-1253	1009-4-360	67803-3221-64338	1019-4-1014	190-1-83	653-0-638	937-1-936	100-1-96	145-2-136	45-0-13	75-0-75	18-0-18	256-3-248	784-7-758	618-7-446	173-0-135	560-3-548	184-3-164	1-0-1	76-3-73	184-2-174	1267-1-1239
2020-04-14	22:37:50	2020-04-14 22:37:50	991-6-984	589-8-491	579-6-570	353-1-329	139-2-136	1564-8-1458	254-2-252	146-2-144	168-6-162	327-6-314	819-13-470	1276-22-1254	1012-4-434	67803-3221-64363	1019-4-1014	190-1-91	653-0-641	937-1-936	100-1-96	145-2-138	45-0-13	75-0-75	18-0-18	256-3-248	784-7-759	618-7-468	173-0-135	560-3-548	185-3-168	1-0-1	76-3-73	184-2-175	1267-1-1242
2020-04-14	23:30:35	2020-04-14 23:30:35	991-6-984	589-8-491	579-6-570	353-1-329	139-2-136	1564-8-1458	254-2-252	146-2-144	168-6-162	327-6-314	819-13-470	1276-22-1254	1012-4-434	67803-3221-64363	1019-4-1014	190-1-91	653-0-641	937-1-936	100-1-96	145-2-138	45-0-13	75-0-75	18-0-18	256-3-248	784-7-759	618-7-468	173-0-135	560-3-548	185-3-168	1-0-1	76-3-73	184-2-175	1267-1-1242
2020-04-15	08:30:37	2020-04-15 08:30:37	991-6-984	589-8-491	579-6-570	353-1-329	139-2-136	1564-8-1458	254-2-252	146-2-144	168-6-162	327-6-314	819-13-470	1276-22-1254	1012-4-434	67803-3221-64363	1019-4-1014	190-1-91	653-0-641	937-1-936	100-1-96	145-2-138	45-0-13	75-0-75	18-0-18	256-3-248	784-7-759	618-7-468	173-0-135	560-3-548	185-3-168	1-0-1	76-3-73	184-2-175	1267-1-1242
