2020-04-08 22:51:58
COUNTY	CASES	DEATHS	RECOVERED
St Joseph-Indiana	0	0	0
Scott-Indiana	11	2	0
Shelby-Indiana	56	1	0
Spencer-Indiana	1	0	0
Starke-Indiana	6	0	0
Steuben-Indiana	10	1	0
Sullivan-Indiana	4	0	0
Switzerland-Indiana	11	0	0
Tippecanoe-Indiana	38	1	0
Tipton-Indiana	9	0	0
Union-Indiana	5	0	0
Vanderburgh-Indiana	41	1	0
Vermillion-Indiana	2	0	0
Vigo-Indiana	32	2	0
Wabash-Indiana	5	0	0
Warren-Indiana	2	1	0
Warrick-Indiana	26	0	0
Washington-Indiana	21	0	0
Wayne-Indiana	16	1	0
Wells-Indiana	2	0	0
White-Indiana	3	0	0
Whitley-Indiana	8	1	0
Adair-Iowa	1	0	0
Adams-Iowa	0	0	0
Allamakee-Iowa	19	1	0
Appanoose-Iowa	1	1	0
Audubon-Iowa	1	0	0
Benton-Iowa	12	1	0
Black Hawk-Iowa	19	0	0
Boone-Iowa	3	0	0
Bremer-Iowa	2	0	0
Buchanan-Iowa	5	0	0
Buena Vista-Iowa	1	0	0
Butler-Iowa	1	0	0
Calhoun-Iowa	0	0	0
Carroll-Iowa	1	0	0
Cass-Iowa	0	0	0
Cedar-Iowa	18	0	0
Cerro Gordo-Iowa	12	0	0
Cherokee-Iowa	0	0	0
Chickasaw-Iowa	1	0	0
Clarke-Iowa	1	0	0
Clay-Iowa	2	0	0
Clayton-Iowa	5	0	0
Clinton-Iowa	19	0	0
Crawford-Iowa	6	0	0
Dallas-Iowa	35	0	0
Davis-Iowa	0	0	0
Decatur-Iowa	0	0	0
Delaware-Iowa	1	0	0
Des Moines-Iowa	3	0	0
Dickinson-Iowa	1	0	0
Dubuque-Iowa	28	1	0
Emmet-Iowa	0	0	0
Fayette-Iowa	3	0	0
Floyd-Iowa	0	0	0
Franklin-Iowa	1	0	0
Fremont-Iowa	0	0	0
Greene-Iowa	1	0	0
Grundy-Iowa	1	0	0
Guthrie-Iowa	1	0	0
Hamilton-Iowa	2	0	0
Hancock-Iowa	3	0	0
Hardin-Iowa	1	0	0
Harrison-Iowa	11	0	0
Henry-Iowa	15	1	0
Howard-Iowa	1	0	0
Humboldt-Iowa	0	0	0
Ida-Iowa	0	0	0
Iowa-Iowa	6	0	0
Jackson-Iowa	4	0	0
Jasper-Iowa	8	0	0
Jefferson-Iowa	3	0	0
Johnson-Iowa	147	1	0
Jones-Iowa	6	0	0
Keokuk-Iowa	2	0	0
Kossuth-Iowa	1	0	0
Lee-Iowa	1	0	0
Linn-Iowa	197	8	0
Louisa-Iowa	30	0	0
Lucas-Iowa	0	0	0
Lyon-Iowa	2	0	0
Madison-Iowa	1	0	0
Mahaska-Iowa	4	0	0
Marion-Iowa	2	0	0
Marshall-Iowa	15	0	0
Mills-Iowa	1	0	0
Mitchell-Iowa	2	0	0
Monona-Iowa	6	0	0
Monroe-Iowa	0	0	0
Montgomery-Iowa	1	0	0
Muscatine-Iowa	61	1	0
O Brien-Iowa	0	0	0
Osceola-Iowa	0	0	0
Page-Iowa	3	0	0
Palo Alto-Iowa	0	0	0
Plymouth-Iowa	4	0	0
Pocahontas-Iowa	0	0	0
Polk-Iowa	134	4	0
Pottawattamie-Iowa	11	0	0
Poweshiek-Iowa	6	1	0
Ringgold-Iowa	0	0	0
Sac-Iowa	0	0	0
Scott-Iowa	77	1	0
Shelby-Iowa	6	0	0
